inc.first,inc.last,inc.elected,inc.birth,gender,ethnicity,religion,open.lgbtq
Doug,Lamborn,2006,1954,Man,White - Non-Hispanic,Christian,No
Leonard,Lance,2008,1952,Man,White - Non-Hispanic,Roman Catholic,No
Jim,Langevin,2000,1964,Man,White - Non-Hispanic,Roman Catholic,No
Rick,Larsen,2000,1965,Man,White - Non-Hispanic,Methodist,No
John,Larson,1998,1948,Man,White - Non-Hispanic,Roman Catholic,No
Bob,Latta,2007 Special,1956,Man,White - Non-Hispanic,Christian,No
Brenda,Lawrence,2014,1954,Woman,Black - African-American,Christian,No
Al,Lawson,2016,1948,Man,Black - African-American,Episcopalian,No
Barbara,Lee,1998 Special,1946,Woman,Black - African-American,Baptist,No
Sandy,Levin,1982,1931,Man,White - Non-Hispanic,Jewish,No
Jason,Lewis,2016,1955,Man,White - Non-Hispanic,,No
John,Lewis,1986,1940,Man,Black - African-American,Baptist,No
Ted,Lieu,2014,1969,Man,Asian - Chinese,Roman Catholic,No
Dan,Lipinski,2004,1966,Man,White - Non-Hispanic,Roman Catholic,No
Frank,LoBiondo,1994,1946,Man,White - Non-Hispanic,Roman Catholic,No
Dave,Loebsack,2006,1952,Man,White - Non-Hispanic,Methodist,No
Zoe,Lofgren,1994,1947,Woman,White - Non-Hispanic,Lutheran,No
Billy,Long,2010,1955,Man,White - Non-Hispanic,Presbyterian,No
Barry,Loudermilk,2014,1963,Man,White - Non-Hispanic,Baptist,No
Mia,Love,2014,1975,Woman,Black - Haitian,Mormon,No
Alan,Lowenthal,2012,1941,Man,White - Non-Hispanic,Jewish,No
Nita,Lowey,1988,1937,Woman,White - Non-Hispanic,Jewish,No
Frank,Lucas,1994 Special,1960,Man,White - Non-Hispanic,Southern Baptist,No
Blaine,Luetkemeyer,2008,1960,Man,White - Non-Hispanic,Roman Catholic,No
Ben Ray,Luján,2008,1972,Man,Hispanic - New Mexican (Hispanos),Roman Catholic,No
Michelle,Lujan Grisham,2012,1959,Woman,Hispanic - New Mexican (Hispanos),Roman Catholic,No
Stephen,Lynch,2001 Special,1955,Man,White - Non-Hispanic,Roman Catholic,No
Tom,MacArthur,2014,1960,Man,White - Non-Hispanic,Episcopalian,No
Carolyn,Maloney,1992,1948,Woman,White - Non-Hispanic,Presbyterian,No
Sean Patrick,Maloney,2012,1966,Man,White - Non-Hispanic,Roman Catholic,Gay
Kenny,Marchant,2004,1951,Man,White - Non-Hispanic,Nazarene Christian,No
Tom,Marino,2010,1952,Man,White - Non-Hispanic,Roman Catholic,No
Roger,Marshall,2016,1960,Man,White - Non-Hispanic,,No
Thomas,Massie,2012 Special,1971,Man,White - Non-Hispanic,Christian,No
Brian,Mast,2016,1980,Man,White - Non-Hispanic,Christian,No
Doris,Matsui,2005 Special,1944,Woman,Asian - Japanese,Methodist,No
Kevin,McCarthy,2006,1965,Man,White - Non-Hispanic,Baptist,No
Michael,McCaul,2004,1962,Man,White - Non-Hispanic,Roman Catholic,No
Tom,McClintock,2008,1956,Man,White - Non-Hispanic,Baptist,No
Betty,McCollum,2000,1954,Woman,White - Non-Hispanic,Roman Catholic,No
Donald,McEachin,2016,1961,Man,Black - African-American,Baptist,No
Jim,McGovern,1996,1959,Man,White - Non-Hispanic,Roman Catholic,No
Patrick,McHenry,2004,1975,Man,White - Non-Hispanic,Roman Catholic,No
David,McKinley,2010,1947,Man,White - Non-Hispanic,Episcopalian,No
Cathy,McMorris Rodgers,2004,1969,Woman,White - Non-Hispanic,Christian,No
Jerry,McNerney,2006,1951,Man,White - Non-Hispanic,Roman Catholic,No
Martha,McSally,2014,1966,Woman,White - Non-Hispanic,Christian,No
Mark,Meadows,2012,1959,Man,White - Non-Hispanic,Christian,No
Pat,Meehan,2010,1955,Man,White - Non-Hispanic,Roman Catholic,No
Gregory,Meeks,1998 Special,1953,Man,Black - African-American,Baptist,No
Grace,Meng,2012,1975,Woman,Asian - Chinese,Christian,No
Luke,Messer,2012,1969,Man,White - Non-Hispanic,Presbyterian,No
Paul,Mitchell,2016,1956/1957,Man,White - Non-Hispanic,,No
John,Moolenaar,2014,1961,Man,White - Non-Hispanic,Christian,No
Alex,Mooney,2014,1971,Man,Hispanic - Cuban,Roman Catholic,No
Gwen,Moore,2004,1951,Woman,Black - African-American,Baptist,No
Seth,Moulton,2014,1978,Man,White - Non-Hispanic,Christian,No
Markwayne,Mullin,2012,1977,Man,Native American - Cherokee,Pentecostal,No
Stephanie,Murphy,2016,1978,Woman,Asian - Vietnamese,,No
Tim,Murphy,2002,1952,Man,White - Non-Hispanic,Roman Catholic,No
Jerry,Nadler,1992 Special,1947,Man,White - Non-Hispanic,Jewish,No
Grace,Napolitano,1998,1936,Woman,Hispanic - Mexican,Roman Catholic,No
Richie,Neal,1988,1949,Man,White - Non-Hispanic,Roman Catholic,No
Dan,Newhouse,2014,1955,Man,White - Non-Hispanic,Presbyterian,No
Kristi,Noem,2010,1971,Woman,White - Non-Hispanic,Evangelical,No
Rick,Nolan,"2012, 1974-1980",1943,Man,White - Non-Hispanic,Roman Catholic,No
Donald,Norcross,2014 Special,1958,Man,White - Non-Hispanic,Lutheran,No
Ralph,Norman,2017 Special,,Man,White - Non-Hispanic,,No
Devin,Nunes,2002,1973,Man,White - Portuguese-American,Roman Catholic,No
Tom,O'Halleran,2016,1946,Man,White - Non-Hispanic,Roman Catholic,No
Pete,Olson,2008,1962,Man,White - Non-Hispanic,United Methodist,No
Beto,O'Rourke,2012,1972,Man,White - Non-Hispanic,Roman Catholic,No
Steven,Palazzo,2010,1970,Man,White - Non-Hispanic,Roman Catholic,No
Frank,Pallone,1988,1951,Man,White - Non-Hispanic,Roman Catholic,No
Gary,Palmer,2014,1954,Man,White - Non-Hispanic,Christian,No
Jimmy,Panetta,2016,1969,Man,White - Non-Hispanic,Roman Catholic,No
Bill,Pascrell,1996,1937,Man,White - Non-Hispanic,Roman Catholic,No
Erik,Paulsen,2008,1965,Man,White - Non-Hispanic,Lutheran,No
Donald,Payne,2012 Special,1958,Man,Black - African-American,Baptist,No
Steve,Pearce,"2010, 2002-2008",1947,Man,White - Non-Hispanic,Southern Baptist,No
Nancy,Pelosi,1986,1940,Woman,White - Non-Hispanic,Roman Catholic,No
Ed,Perlmutter,2006,1953,Man,White - Non-Hispanic,Methodist,No
Scott,Perry,2012,1962,Man,White - Non-Hispanic,Christian,No
